customer_id,tax_id,tax_code,customer_name,state,city,postcode,street,number,unit,region,district,lon,lat,ship_to_address,valid_from,valid_to,units_purchased,loyalty_segment
11123757,NULL,NULL,"SMITH,  SHIRLEY",IN,BREMEN,46506.0,N CENTER ST,521.0,NULL,Indiana,50.0,-86.1465825,41.4507625,"IN, 46506.0, N CENTER ST, 521.0",1532824233,1548137353,34,3
30585978,NULL,NULL,"STEPHENS,  GERALDINE M",OR,ADDRESS,0,NO SITUS,NULL,NULL,NULL,NULL,-122.1055158,45.374317,"OR, 0, NO SITUS, nan",1523100473,NULL,18,3
349822,NULL,NULL,"GUZMAN,  CARMEN",VA,VIENNA,22181,HILL RD,2860,NULL,VA,NULL,-77.2941261,38.88303270000001,"VA, 22181, HILL RD, 2860",1522922493,NULL,5,0
27652636,NULL,NULL,"HASSETT,  PATRICK J",WI,VILLAGE OF NASHOTAH,53058.0,IVY LANE,W333N 5591,NULL,NULL,NULL,-88.40951700000002,43.1213789,"WI, 53058.0, IVY LANE, W333N 5591",1531834357,1558052195,7,1
14437343,NULL,NULL,"HENTZ,  DIANA L",OH,COLUMBUS,43228.0,ALLIANCE WAY,5706,NULL,OH,FRA,-83.158438,39.97821810000001,"OH, 43228.0, ALLIANCE WAY, 5706",1517227530,NULL,0,0
20441596,NULL,NULL,"TIRADO,  MARCO A",NY,Otselic,13072,County Road 16,2792,NULL,NY,Chenango,-75.7505808,42.7172722,"NY, 13072, County Road 16, 2792",1519335250,NULL,24,3
5945686,NULL,NULL,"SKORA,  BRIAN S",MI,NULL,48205.0,E 8 MILE RD,16414.0,NULL,NULL,NULL,-82.950874,42.4499233,"MI, 48205.0, E 8 MILE RD, 16414.0",1518988242,NULL,7,1
5385771,NULL,NULL,"SLAWEK,  DEAN J",PA,NULL,19147-3204,FITZWATER ST,328,NULL,NULL,NULL,-75.14920550000002,39.9389473,"PA, 19147-3204, FITZWATER ST, 328",1518239268,NULL,18,3
1427940,NULL,NULL,"REAVES,  LIONEL C",VA,HOT SPRINGS,24445.0,HOT SPRINGS RD,6419.0,NULL,NULL,NULL,-79.90497859999998,37.8949737,"VA, 24445.0, HOT SPRINGS RD, 6419.0",1529087690,NULL,10,2
10457387,NULL,NULL,"BONGIOVANNI,  KELLY M",IN,VINCENNES,47591,JERRY ST,2006.0,NULL,Indiana,42.0,-87.519002,38.662178,"IN, 47591, JERRY ST, 2006.0",1535887733,NULL,9,2
